865, 430, 195, 198, 199
866, 486, 201, 222, 221
867, 444, 122, 121, 112
868, 436, 201, 202, 222
869, 444, 454, 122, 112
870, 528, 322, 301, 302
871, 531, 95, 105, 104
872, 487, 436, 561, 222
873, 453, 444, 324, 521
874, 430, 71, 198, 1
875, 506, 218, 239, 238
876, 265, 523, 286, 559
877, 483, 118, 128, 127
878, 430, 433, 432, 219
879, 486, 199, 44, 200
880, 487, 561, 436, 81
881, 553, 386, 365, 366
882, 434, 438, 11, 69
883, 445, 465, 469, 215
884, 71, 72, 433, 487
885, 222, 487, 486, 221
886, 550, 567, 101, 102
887, 263, 555, 264, 561
888, 430, 196, 1, 195
889, 433, 220, 486, 487
890, 487, 551, 82, 481
891, 550, 555, 263, 551
892, 553, 387, 386, 366
893, 487, 82, 551, 81
894, 443, 122, 132, 131
895, 443, 444, 121, 521
896, 463, 461, 212, 233
897, 131, 477, 478, 524
898, 463, 213, 234, 233
899, 463, 234, 489, 233
900, 518, 531, 278, 94
901, 435, 69, 70, 79
902, 515, 558, 135, 381
903, 551, 242, 262, 241
904, 149, 139, 148, 495
905, 554, 470, 244, 535
906, 470, 90, 89, 80
907, 542, 517, 485, 137
908, 540, 266, 265, 245
909, 551, 82, 91, 81
910, 555, 561, 551, 91
911, 508, 352, 332, 353
912, 453, 521, 305, 523
913, 508, 484, 129, 496
914, 129, 508, 351, 534
915, 525, 286, 306, 285
916, 560, 287, 525, 559
917, 529, 365, 344, 345
918, 443, 122, 529, 132
919, 517, 357, 378, 377
920, 525, 560, 308, 287
921, 451, 556, 389, 388
922, 543, 136, 137, 146
923, 542, 468, 147, 471
924, 521, 522, 111, 121
925, 483, 354, 333, 334
926, 511, 447, 153, 512
927, 484, 353, 373, 352
928, 566, 494, 495, 394
929, 484, 566, 373, 374
930, 507, 349, 350, 370
931, 508, 483, 128, 484
932, 529, 553, 365, 366
933, 477, 478, 348, 349
934, 508, 484, 128, 129
935, 307, 308, 525, 328
936, 484, 566, 354, 485
937, 552, 406, 386, 407
938, 429, 503, 512, 178
939, 485, 375, 354, 355
940, 544, 138, 148, 147
941, 507, 492, 564, 370
942, 544, 137, 138, 147
943, 509, 405, 385, 406
944, 509, 563, 134, 133
945, 492, 149, 140, 150
946, 496, 351, 371, 350
947, 468, 398, 418, 397
948, 110, 522, 523, 525
949, 539, 559, 560, 109
950, 43, 199, 198, 195
951, 523, 305, 285, 306
952, 523, 101, 111, 110
953, 431, 62, 218, 217
954, 430, 432, 433, 72
955, 182, 46, 434, 488
956, 554, 555, 101, 91
957, 555, 567, 263, 284
958, 414, 37, 415, 174
959, 452, 176, 177, 41
960, 422, 165, 29, 423
961, 562, 449, 401, 402
962, 420, 468, 466, 400
963, 466, 420, 421, 169
964, 421, 169, 420, 31
965, 466, 32, 419, 420
966, 419, 170, 418, 33
967, 467, 418, 419, 170
968, 471, 418, 171, 417
969, 471, 397, 417, 396
970, 514, 35, 417, 34
971, 471, 416, 395, 396
972, 514, 416, 417, 35
973, 173, 440, 414, 441
974, 514, 416, 35, 172
975, 494, 395, 415, 394
976, 414, 494, 415, 394
977, 440, 414, 415, 174
978, 414, 413, 38, 173
979, 441, 413, 414, 173
980, 441, 159, 150, 160
981, 413, 39, 38, 175
982, 493, 392, 413, 412
983, 510, 160, 161, 21
984, 566, 471, 544, 148
985, 22, 2, 504, 177
986, 447, 406, 426, 405
987, 524, 326, 346, 325
988, 488, 201, 45, 46
989, 512, 503, 162, 180
990, 3, 179, 409, 429
991, 524, 443, 565, 131
992, 180, 503, 162, 2
993, 429, 178, 428, 23
994, 429, 23, 3, 178
995, 567, 283, 455, 262
996, 447, 425, 404, 405
997, 447, 426, 425, 405
998, 513, 164, 26, 163
999, 509, 404, 558, 383
